eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,101,93,-72679.174162,1.261096e-03,5,5,4.5,e,+0.5,-1,4,4,4.5,f,+2.5,-1
sigma+,sigma-,100,92,-72679.174161,1.501306e-03,5,5,4.5,e,-0.5,-1,4,4,4.5,f,+1.5,-1
sigma+,sigma-,99,91,-72679.174160,1.501307e-03,5,5,4.5,e,-1.5,-1,4,4,4.5,f,+0.5,-1
sigma+,sigma-,98,90,-72679.174159,1.261098e-03,5,5,4.5,e,-2.5,-1,4,4,4.5,f,-0.5,-1
sigma+,sigma-,97,89,-72679.174157,8.407327e-04,5,5,4.5,e,-3.5,-1,4,4,4.5,f,-1.5,-1
sigma+,sigma-,96,88,-72679.174156,3.603142e-04,5,5,4.5,e,-4.5,-1,4,4,4.5,f,-2.5,-1
sigma+,sigma-,116,87,-72675.596705,1.751514e-02,5,5,5.5,e,-5.5,-1,4,4,4.5,f,-3.5,-1
sigma+,sigma-,117,88,-72675.596705,2.547658e-02,5,5,5.5,e,-4.5,-1,4,4,4.5,f,-2.5,-1
sigma+,sigma-,118,89,-72675.596705,2.675041e-02,5,5,5.5,e,-3.5,-1,4,4,4.5,f,-1.5,-1
sigma+,sigma-,119,90,-72675.596704,2.377815e-02,5,5,5.5,e,-2.5,-1,4,4,4.5,f,-0.5,-1
sigma+,sigma-,120,91,-72675.596704,1.857668e-02,5,5,5.5,e,-1.5,-1,4,4,4.5,f,+0.5,-1
sigma+,sigma-,121,92,-72675.596704,1.273830e-02,5,5,5.5,e,-0.5,-1,4,4,4.5,f,+1.5,-1
sigma+,sigma-,122,93,-72675.596703,7.430676e-03,5,5,5.5,e,+0.5,-1,4,4,4.5,f,+2.5,-1
sigma+,sigma-,123,94,-72675.596703,3.396881e-03,5,5,5.5,e,+1.5,-1,4,4,4.5,f,+3.5,-1
sigma+,sigma-,124,95,-72675.596703,9.553730e-04,5,5,5.5,e,+2.5,-1,4,4,4.5,f,+4.5,-1
sigma+,sigma-,96,69,-72674.738701,2.007181e-02,5,5,4.5,e,-4.5,-1,4,4,3.5,f,-2.5,-1
sigma+,sigma-,97,70,-72674.738700,2.676240e-02,5,5,4.5,e,-3.5,-1,4,4,3.5,f,-1.5,-1
sigma+,sigma-,98,71,-72674.738700,2.508975e-02,5,5,4.5,e,-2.5,-1,4,4,3.5,f,-0.5,-1
sigma+,sigma-,99,72,-72674.738699,1.911600e-02,5,5,4.5,e,-1.5,-1,4,4,3.5,f,+0.5,-1
sigma+,sigma-,100,73,-72674.738698,1.194750e-02,5,5,4.5,e,-0.5,-1,4,4,3.5,f,+1.5,-1
sigma+,sigma-,101,74,-72674.738697,5.734798e-03,5,5,4.5,e,+0.5,-1,4,4,3.5,f,+2.5,-1
sigma+,sigma-,102,75,-72674.738697,1.672649e-03,5,5,4.5,e,+1.5,-1,4,4,3.5,f,+3.5,-1
sigma+,sigma-,116,68,-72671.161252,2.193395e-03,5,5,5.5,e,-5.5,-1,4,4,3.5,f,-3.5,-1
sigma+,sigma-,117,69,-72671.161250,1.395795e-03,5,5,5.5,e,-4.5,-1,4,4,3.5,f,-2.5,-1
sigma+,sigma-,118,70,-72671.161247,8.374756e-04,5,5,5.5,e,-3.5,-1,4,4,3.5,f,-1.5,-1
sigma+,sigma-,119,71,-72671.161245,4.652636e-04,5,5,5.5,e,-2.5,-1,4,4,3.5,f,-0.5,-1
sigma+,sigma-,120,72,-72671.161243,2.326314e-04,5,5,5.5,e,-1.5,-1,4,4,3.5,f,+0.5,-1
sigma+,sigma-,121,73,-72671.161241,9.969904e-05,5,5,5.5,e,-0.5,-1,4,4,3.5,f,+1.5,-1
sigma+,sigma-,122,74,-72671.161239,3.323297e-05,5,5,5.5,e,+0.5,-1,4,4,3.5,f,+2.5,-1
sigma+,sigma-,123,75,-72671.161237,6.646584e-06,5,5,5.5,e,+1.5,-1,4,4,3.5,f,+3.5,-1
sigma+,sigma-,68,46,-58240.930609,8.265890e-03,4,4,3.5,f,-3.5,-1,3,3,3.5,e,-1.5,-1
sigma+,sigma-,69,47,-58240.930609,1.771260e-02,4,4,3.5,f,-2.5,-1,3,3,3.5,e,-0.5,-1
sigma+,sigma-,70,48,-58240.930609,2.361678e-02,4,4,3.5,f,-1.5,-1,3,3,3.5,e,+0.5,-1
sigma+,sigma-,71,49,-58240.930609,2.361676e-02,4,4,3.5,f,-0.5,-1,3,3,3.5,e,+1.5,-1
sigma+,sigma-,72,50,-58240.930609,1.771255e-02,4,4,3.5,f,+0.5,-1,3,3,3.5,e,+2.5,-1
sigma+,sigma-,73,51,-58240.930608,8.265850e-03,4,4,3.5,f,+1.5,-1,3,3,3.5,e,+3.5,-1
sigma+,sigma-,86,45,-58236.495158,1.980766e-01,4,4,4.5,f,-4.5,-1,3,3,3.5,e,-2.5,-1
sigma+,sigma-,87,46,-58236.495156,2.641023e-01,4,4,4.5,f,-3.5,-1,3,3,3.5,e,-1.5,-1
