eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,61,22,-101826.416605,4.276346e-03,4,4,3.5,e,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,62,23,-101826.384969,3.168440e-03,4,4,3.5,e,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,63,24,-101826.353034,1.669707e-03,4,4,3.5,e,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,64,25,-101826.320807,5.156659e-04,4,4,3.5,e,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,76,20,-101822.132635,8.337965e-02,4,4,4.5,e,-4.5,+1,2,2,2.5,e,-2.5,+1
sigma+,sigma-,77,21,-101822.081447,4.649221e-02,4,4,4.5,e,-3.5,+1,2,2,2.5,e,-1.5,+1
sigma+,sigma-,78,22,-101822.030039,2.333004e-02,4,4,4.5,e,-2.5,+1,2,2,2.5,e,-0.5,+1
sigma+,sigma-,79,23,-101821.978419,1.003408e-02,4,4,4.5,e,-1.5,+1,2,2,2.5,e,+0.5,+1
sigma+,sigma-,80,24,-101821.926590,3.356364e-03,4,4,4.5,e,-0.5,+1,2,2,2.5,e,+1.5,+1
sigma+,sigma-,81,25,-101821.874559,6.735764e-04,4,4,4.5,e,+0.5,+1,2,2,2.5,e,+2.5,+1
sigma+,sigma-,60,12,-101818.215242,7.479525e-02,4,4,3.5,e,-3.5,+1,2,2,1.5,e,-1.5,+1
sigma+,sigma-,61,13,-101818.118067,3.194467e-02,4,4,3.5,e,-2.5,+1,2,2,1.5,e,-0.5,+1
sigma+,sigma-,62,14,-101818.021107,1.061227e-02,4,4,3.5,e,-1.5,+1,2,2,1.5,e,+0.5,+1
sigma+,sigma-,63,15,-101817.924357,2.115432e-03,4,4,3.5,e,-0.5,+1,2,2,1.5,e,+1.5,+1
sigma+,sigma-,77,12,-101813.848752,2.005323e-09,4,4,4.5,e,-3.5,+1,2,2,1.5,e,-1.5,+1
sigma+,sigma-,78,13,-101813.731501,1.677380e-09,4,4,4.5,e,-2.5,+1,2,2,1.5,e,-0.5,+1
sigma+,sigma-,79,14,-101813.614557,7.940800e-10,4,4,4.5,e,-1.5,+1,2,2,1.5,e,+0.5,+1
sigma+,sigma-,80,15,-101813.497913,1.933043e-10,4,4,4.5,e,-0.5,+1,2,2,1.5,e,+1.5,+1
sigma+,sigma-,111,83,-72811.346514,1.057013e-02,5,5,4.5,f,+0.5,+1,4,4,4.5,e,+2.5,+1
sigma+,sigma-,112,84,-72811.346508,6.991945e-03,5,5,4.5,f,+1.5,+1,4,4,4.5,e,+3.5,+1
sigma+,sigma-,110,82,-72811.346452,1.268308e-02,5,5,4.5,f,-0.5,+1,4,4,4.5,e,+1.5,+1
sigma+,sigma-,113,85,-72811.346437,2.973457e-03,5,5,4.5,f,+2.5,+1,4,4,4.5,e,+4.5,+1
sigma+,sigma-,109,81,-72811.346322,1.278441e-02,5,5,4.5,f,-1.5,+1,4,4,4.5,e,+0.5,+1
sigma+,sigma-,108,80,-72811.346123,1.082554e-02,5,5,4.5,f,-2.5,+1,4,4,4.5,e,-0.5,+1
sigma+,sigma-,107,79,-72811.345855,7.275818e-03,5,5,4.5,f,-3.5,+1,4,4,4.5,e,-1.5,+1
