eps1,eps2,i,j,freq_MHz,strength,a_J,a_F1,a_F,a_ef,a_mF,a_parity,b_J,b_F1,b_F,b_ef,b_mF,b_parity
sigma+,sigma-,102,94,-72679.174163,7.712625e-04,5,5,4.5,e,+1.5,-1,4,4,4.5,f,+3.5,-1
sigma+,sigma-,101,93,-72679.174162,1.156894e-03,5,5,4.5,e,+0.5,-1,4,4,4.5,f,+2.5,-1
sigma+,sigma-,100,92,-72679.174161,1.377256e-03,5,5,4.5,e,-0.5,-1,4,4,4.5,f,+1.5,-1
sigma+,sigma-,99,91,-72679.174160,1.377257e-03,5,5,4.5,e,-1.5,-1,4,4,4.5,f,+0.5,-1
sigma+,sigma-,98,90,-72679.174159,1.156897e-03,5,5,4.5,e,-2.5,-1,4,4,4.5,f,-0.5,-1
sigma+,sigma-,97,89,-72679.174157,7.712648e-04,5,5,4.5,e,-3.5,-1,4,4,4.5,f,-1.5,-1
sigma+,sigma-,96,88,-72679.174156,3.305423e-04,5,5,4.5,e,-4.5,-1,4,4,4.5,f,-2.5,-1
sigma+,sigma-,116,87,-72675.596705,1.616513e-02,5,5,5.5,e,-5.5,-1,4,4,4.5,f,-3.5,-1
sigma+,sigma-,117,88,-72675.596705,2.351293e-02,5,5,5.5,e,-4.5,-1,4,4,4.5,f,-2.5,-1
sigma+,sigma-,118,89,-72675.596705,2.468858e-02,5,5,5.5,e,-3.5,-1,4,4,4.5,f,-1.5,-1
sigma+,sigma-,119,90,-72675.596704,2.194541e-02,5,5,5.5,e,-2.5,-1,4,4,4.5,f,-0.5,-1
sigma+,sigma-,120,91,-72675.596704,1.714485e-02,5,5,5.5,e,-1.5,-1,4,4,4.5,f,+0.5,-1
sigma+,sigma-,121,92,-72675.596704,1.175647e-02,5,5,5.5,e,-0.5,-1,4,4,4.5,f,+1.5,-1
sigma+,sigma-,122,93,-72675.596703,6.857944e-03,5,5,5.5,e,+0.5,-1,4,4,4.5,f,+2.5,-1
sigma+,sigma-,123,94,-72675.596703,3.135061e-03,5,5,5.5,e,+1.5,-1,4,4,4.5,f,+3.5,-1
sigma+,sigma-,124,95,-72675.596703,8.817360e-04,5,5,5.5,e,+2.5,-1,4,4,4.5,f,+4.5,-1
sigma+,sigma-,96,69,-72674.738701,1.850649e-02,5,5,4.5,e,-4.5,-1,4,4,3.5,f,-2.5,-1
sigma+,sigma-,97,70,-72674.738700,2.467532e-02,5,5,4.5,e,-3.5,-1,4,4,3.5,f,-1.5,-1
sigma+,sigma-,98,71,-72674.738700,2.313311e-02,5,5,4.5,e,-2.5,-1,4,4,3.5,f,-0.5,-1
sigma+,sigma-,99,72,-72674.738699,1.762522e-02,5,5,4.5,e,-1.5,-1,4,4,3.5,f,+0.5,-1
sigma+,sigma-,100,73,-72674.738698,1.101576e-02,5,5,4.5,e,-0.5,-1,4,4,3.5,f,+1.5,-1
